"","x"
"PRICKLE1",-1.11996752523057
"AMIGO2",-3.10910040098391
"COL2A1",1.93574593795629
"CCDC184",-1.02481716186155
"PRPH",-1.76286476063848
"GALNT6",-1.50720727018848
"SLC4A8",-1.35869538048465
"KRT7",-3.34894085921887
"SOAT2",1.32464228487192
"LOC124902936",1.42519218325128
"HOXC9",-2.47503849024709
"HOXC8",-5.1679022958833
"HOXC4",-2.39789335764247
"HOXC5",-2.57895959118847
"HOXC6",-3.58763229713672
"LOC100240735",-1.98554952276497
"LINC02381",-1.28862833632428
"ITGA5",-1.17018376897498
"PPP1R1A",2.11229980951379
"PMEL",1.17928271766119
"ERBB3",1.08863365425324
"SLC39A5",1.11205716203448
"PRIM1",1.11125244041126
"TAC3",-3.04193740021535
"MARCHF9",1.25690279684681
"METTL1",-1.0395635310561
"HMGA2",1.60098920686731
"RAB3IP",1.26981207465054
"GLIPR1",-3.75419080660895
"SYT1",1.87926992367797
"LIN7A",1.50875385500384
"DUSP6",3.16298559031258
"LUM",-2.80562923418251
"DCN",-5.70482660716926
"BTG1",1.61059995190969
"TMCC3",-1.62138929681309
"NTN4",2.09546397881919
"GAS2L3",1.55162684152672
"DRAM1",-1.31427535679882
"IGF1",-3.43407273022679
"CHST11",1.71222163535581
"TMEM119",-1.16505223558493
"ATP2A2",1.75515193585607
"ALDH2",1.21484258188398
"TBX5",2.07516611861767
"TBX5-AS1",1.35346946320488
"LOC105369998",1.81577295484054
"TBX3",1.01975626887131
"CIT",1.52001802041165
"CFAP251",-1.27781750250871
"ADGRD1",1.51122263708983
"SHISA2",1.40385923024377
"URAD",-1.39585853077375
"FLT1",-1.44006249840478
"MTUS2",1.58993819486894
"MEDAG",-4.12597097590024
"SMAD9",2.42505894860616
"POSTN",-2.8463687004261
"RGCC",-5.2975061506955
"LCP1",1.85143659500696
"RUBCNL",1.44257621426202
"CYSLTR2",-2.02038557294785
"ATP7B",-3.32376905042897
"ALG11",-1.30244394899203
"NEK5",-2.58828892645402
"LOC101929657",-2.58240833972004
"CKAP2",1.06861740871913
"PCDH17",1.40155811711623
"PCDH20",2.54875318538512
"LINC00348",2.47475395687368
"TBC1D4",-1.05255512042782
"LMO7",2.53095301696451
"KCTD12",-1.34701920434505
"LOC780529",1.85805406601792
"POU4F1",3.32660404013262
"GPR180",-1.27801096121657
"ZIC2",1.46617451215955
"EFNB2",-2.44118033955235
"F10",1.7294741775597
"ADPRHL1",1.95514224911143
"SLC39A2",-3.45520061287976
"MYH6",2.15815341988265
"MYH7",1.42729584974516
"PCK2",1.28408279128389
"FITM1",1.4367288097433
"STXBP6",-2.54628102222045
"FOXA1",1.66941112205601
"MIS18BP1",1.45200421247774
"GNG2",1.40031399304686
"CDKN3",1.94195000824856
"LGALS3",-1.0863793352705
"DLGAP5",1.82003607678321
"OTX2",3.13730153097895
"DACT1",-2.19830787040715
"PRKCH",2.18592287483875
"AKAP5",-1.10194618618656
"SPTB",1.10995874273512
"TMEM229B",-2.0625338222736
